
2024/09/03 (11:37:22) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/09/03 (11:37:35) | INFO: Quitting! Runtime: 00:00:13

2024/09/29 (23:21:13) | ===> btop++ v.1.3.2
2024/09/29 (23:21:13) | INFO: Logger set to DEBUG
2024/09/29 (23:21:13) | DEBUG: Using locale en_US.UTF-8
2024/09/29 (23:21:13) | INFO: Running on /dev/ttys001
2024/09/29 (23:21:13) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2024/09/29 (23:21:13) | DEBUG: checking intel
2024/09/29 (23:21:13) | DEBUG: no intel sensors found
2024/09/29 (23:21:13) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.3.2/share/btop/themes/nord.theme
2024/09/29 (23:21:15) | INFO: Quitting! Runtime: 00:00:02

2025/01/06 (10:24:43) | ===> btop++ v.1.4.0
2025/01/06 (10:24:43) | INFO: Logger set to DEBUG
2025/01/06 (10:24:43) | DEBUG: Using locale en_US.UTF-8
2025/01/06 (10:24:43) | INFO: Running on /dev/ttys001
2025/01/06 (10:24:43) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/01/06 (10:24:43) | DEBUG: checking intel
2025/01/06 (10:24:43) | DEBUG: no intel sensors found
2025/01/06 (10:24:43) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/nord.theme
2025/01/06 (10:25:31) | DEBUG: Writing new config file
2025/01/06 (10:25:31) | INFO: Quitting! Runtime: 00:00:48
